month,tou,0,1,2,3
1,Sat. mid-peak,0.005950209,0.005363131,0.005307205,0.005751462
1,mid-peak,0.030712048,0.03586016,0.031728483,0.026816539
1,off-peak,0.034499874,0.026270129,0.030025491,0.031644306
2,Sat. mid-peak,0.005950209,0.005363131,0.005307205,0.005751462
2,mid-peak,0.030712048,0.03586016,0.031728483,0.026816539
2,off-peak,0.034499874,0.026270129,0.030025491,0.031644306
3,Sat. mid-peak,0.005950209,0.005363131,0.005307205,0.005751462
3,mid-peak,0.030712048,0.03586016,0.031728483,0.026816539
3,off-peak,0.034499874,0.026270129,0.030025491,0.031644306
4,Sat. mid-peak,0.005950209,0.005363131,0.005307205,0.005751462
4,mid-peak,0.030712048,0.03586016,0.031728483,0.026816539
4,off-peak,0.034499874,0.026270129,0.030025491,0.031644306
5,Sat. mid-peak,0.007619908,0.006672728,0.00699284,0.008267494
5,mid-peak,0.031614828,0.039738148,0.034954789,0.02988971
5,off-peak,0.042298568,0.032454319,0.039088836,0.043686395
5,peak,0.00423427,0.007636121,0.0055513,0.00531394
6,Sat. mid-peak,0.009289608,0.007982325,0.008678475,0.010783526
6,mid-peak,0.032517608,0.043616136,0.038181094,0.032962881
6,off-peak,0.050097262,0.03863851,0.04815218,0.055728484
6,peak,0.008468539,0.015272242,0.0111026,0.010627879
7,Sat. mid-peak,0.009289608,0.007982325,0.008678475,0.010783526
7,mid-peak,0.032517608,0.043616136,0.038181094,0.032962881
7,off-peak,0.050097262,0.03863851,0.04815218,0.055728484
7,peak,0.008468539,0.015272242,0.0111026,0.010627879
8,Sat. mid-peak,0.009289608,0.007982325,0.008678475,0.010783526
8,mid-peak,0.032517608,0.043616136,0.038181094,0.032962881
8,off-peak,0.050097262,0.03863851,0.04815218,0.055728484
8,peak,0.008468539,0.015272242,0.0111026,0.010627879
9,Sat. mid-peak,0.009289608,0.007982325,0.008678475,0.010783526
9,mid-peak,0.032517608,0.043616136,0.038181094,0.032962881
9,off-peak,0.050097262,0.03863851,0.04815218,0.055728484
9,peak,0.008468539,0.015272242,0.0111026,0.010627879
10,Sat. mid-peak,0.007619908,0.006672728,0.00699284,0.008267494
10,mid-peak,0.031614828,0.039738148,0.034954789,0.02988971
10,off-peak,0.042298568,0.032454319,0.039088836,0.043686395
10,peak,0.00423427,0.007636121,0.0055513,0.00531394
11,Sat. mid-peak,0.005950209,0.005363131,0.005307205,0.005751462
11,mid-peak,0.030712048,0.03586016,0.031728483,0.026816539
11,off-peak,0.034499874,0.026270129,0.030025491,0.031644306
12,Sat. mid-peak,0.005950209,0.005363131,0.005307205,0.005751462
12,mid-peak,0.030712048,0.03586016,0.031728483,0.026816539
12,off-peak,0.034499874,0.026270129,0.030025491,0.031644306
