month,tou,SAP,WAP,HAP,OWAP,theoretical_hours,SAP_kWh,WAP_kWh,HAP_kWh,OWAP_kWh
1,Sat. mid-p,13.550106027694644,74.97529021074436,63.391126648558,63.71075039112588,60,8.130063616616786,44.985174126446616,38.0346759891348,38.226450234675525
1,mid-peak,13.67336692700182,72.34125743405566,65.44595398823873,57.83016928363859,345,47.17311589815628,249.57733814749204,225.78854125942362,199.51408402855316
1,off-peak,17.090365213836186,67.43290781846206,65.06204289471255,55.58906222420141,339,57.93633807490467,228.59755750458638,220.56032541307556,188.44692094004282
2,Sat. mid-p,13.548375295895642,73.7987542131986,69.0720088099919,59.86490166376842,60,8.129025177537384,44.27925252791916,41.443205285995134,35.91894099826105
2,mid-peak,14.580998891587171,71.2594784230683,64.46951100557665,49.84847325481098,300,43.742996674761514,213.7784352692049,193.40853301672996,149.54541976443295
2,off-peak,17.87357887077026,70.57270849105068,65.1898285600755,52.644471678809644,312,55.76556607680321,220.18685049207812,203.39226510743558,164.2507516378861
3,Sat. mid-p,23.559135746197732,50.73652466773605,64.84623042090011,54.81656506125394,75,17.6693518096483,38.05239350080204,48.63467281567509,41.11242379594046
3,mid-peak,22.0827573152881,47.164955400024695,63.508797490974516,44.94386385751807,315,69.56068554315752,148.56960951007778,200.05271209656973,141.5731711511819
3,off-peak,21.135732854047323,48.98613579755932,63.719376148535765,46.148812320085554,354,74.82049430332752,173.41092072336,225.5665915658166,163.36679561310285
4,Sat. mid-p,19.662341166172283,54.958706494168666,64.28929914055189,54.485977139441914,60,11.797404699703371,32.975223896501205,38.573579484331134,32.691586283665146
4,mid-peak,19.907017529406787,50.64105311162149,61.57016050636852,48.58863509194493,330,65.6931578470424,167.11547526835093,203.1815296710161,160.34249580341827
4,off-peak,21.509038574558502,41.52671092371771,62.446607132573064,40.438375075159435,330,70.97982729604306,137.03814604826846,206.07380353749113,133.44663774802615
5,Sat. mid-p,25.5677101073802,31.017019779248965,61.65969122618316,33.16672103212567,75,19.175782580535152,23.262764834436727,46.244768419637374,24.875040774094256
5,mid-peak,26.79219159287394,45.12411803340276,61.54217842852162,37.493027748119715,253,67.78424472997106,114.16401862450897,155.70171142415973,94.85736020274288
5,off-peak,15.550604981414173,34.37568786782237,63.19177594478229,30.38330133199003,350,54.42711743494961,120.3149075373783,221.17121580673805,106.34155466196512
5,peak,8.92490362558227,37.765223822322184,73.33599370024277,33.9919674325769,66,5.890436392884298,24.925047722732643,48.40175584216023,22.434698505500755
6,Sat. mid-p,32.489050929692866,20.698933112771332,72.21694012833868,15.409691552778206,60,19.493430557815717,12.4193598676628,43.33016407700321,9.245814931666924
6,mid-peak,44.912441925857536,26.661859505078866,74.21517719013679,17.867830109353864,168,75.45290243544066,44.791923968532494,124.6814976794298,30.01795458371449
6,off-peak,17.386567880308142,17.013480780923103,73.5132440349637,15.078506931442433,366,63.634838441927805,62.26933965817856,269.0584731679672,55.187335369079314
6,peak,13.664597790525342,20.946627851859052,74.71331649629178,18.838958583117236,126,17.217393216061932,26.392751093342405,94.13877878532764,23.737087814727715
7,Sat. mid-p,34.97511132259945,38.99648486583635,54.521387622195114,8.695084748528862,60,20.98506679355967,23.397890919501812,32.71283257331707,5.217050849117316
7,mid-peak,47.35901819758705,26.52852239432277,52.957759012465864,17.28803849478293,184,87.14059348356017,48.812481205553894,97.4422765829372,31.809990830400594
7,off-peak,17.4629382623119,24.548490311126358,53.044467060988076,11.916442260794092,362,63.21583650956908,88.86553492627742,192.02097076077683,43.13752098407462
7,peak,14.548062797056781,23.569155955143287,55.15163995621707,19.337664428992024,138,20.07632665993836,32.52543521809774,76.10926313957955,26.685976912008993
8,Sat. mid-p,27.969582927602776,29.23411674063144,52.80393750470955,14.750394422111492,75,20.977187195702083,21.92558755547358,39.602953128532164,11.062795816583618
8,mid-peak,45.50565059022682,29.657342994845507,56.190412073805355,17.663539204895525,168,76.44949299158107,49.82433623134045,94.399892283993,29.674745864224484
8,off-peak,12.3271085417707,26.83996940555925,56.5658638507543,15.458270210564507,375,46.22665703164012,100.6498852708472,212.12198944032863,57.96851328961691
8,peak,8.270715028153303,29.035019106273136,55.522118915451586,21.93066284855345,126,10.421100935473161,36.58412407390415,69.95786983346899,27.632635189177346
9,Sat. mid-p,28.852334576207642,39.81664307456334,68.85256211690415,26.040846158495324,60,17.311400745724587,23.889985844738003,41.31153727014249,15.624507695097195
9,mid-peak,43.22099790019498,47.765054380952414,63.113235488218685,37.26773923464327,176,76.06895630434316,84.06649571047625,111.0792944592649,65.59122105297216
9,off-peak,10.506410314859624,34.34285577790442,64.63292774524373,26.258141763438434,352,36.982564308305875,120.88685233822355,227.50790566325796,92.42865900730328
9,peak,4.919559890061015,47.38675152514319,66.39691476469591,42.88917080624202,132,6.4938190548805395,62.550512013189014,87.64392748939859,56.613705464239466
10,Sat. mid-p,19.670470305388363,61.2048678115713,71.90976592507889,33.99620608867096,60,11.80228218323302,36.72292068694278,43.14585955504734,20.397723653202576
10,mid-peak,24.14347960324522,62.15150994830093,74.36836064480212,55.65576992997523,268,64.70452533669719,166.5660466614465,199.30720652806968,149.1574634123336
10,off-peak,14.193394522331062,59.201227816142776,74.45927117493224,45.916393433083904,350,49.67688082815872,207.2042973564997,260.6074491122628,160.70737701579367
10,peak,3.694637730982059,66.1761759040908,75.48199809195803,67.94263880032487,66,2.4384609024481594,43.67627609669993,49.8181187406923,44.84214160821442
11,Sat. mid-p,14.313089250095887,40.15242453826711,70.34336357284292,31.512995083652307,75,10.734816937571916,30.114318403700338,52.75752267963219,23.63474631273923
11,mid-peak,14.489926445530402,62.11387387858333,71.27726926408594,56.554287423222036,300,43.46977933659121,186.34162163575,213.83180779225782,169.6628622696661
11,off-peak,17.870815357186242,57.085075876151464,69.84384873389087,46.97130674411361,345,61.65431298229253,196.94351177272256,240.9612781319235,162.05100826719195
12,Sat. mid-p,12.313194006593454,69.5682197381242,59.89385177768354,59.970386356782214,60,7.387916403956073,41.74093184287452,35.93631106661012,35.98223181406933
12,mid-peak,12.863328170164161,74.93142703319003,56.70590272110237,62.83589359383636,345,44.37848218706636,258.5134232645056,195.63536438780318,216.78383289873545
12,off-peak,17.077722081040196,72.86293441676547,57.284002157582066,59.776964503458174,339,57.893477854726264,247.00534767283494,194.1927673142032,202.6439096667232
