month,tou,SAP,WAP,HAP,OWAP
1,Sat. mid-p,13.550106027694644,74.97529021074436,63.391126648558,63.71075039112588
1,mid-peak,13.67336692700182,72.34125743405566,65.44595398823873,57.83016928363859
1,off-peak,17.090365213836186,67.43290781846206,65.06204289471255,55.58906222420141
2,Sat. mid-p,13.548375295895642,73.7987542131986,69.0720088099919,59.86490166376842
2,mid-peak,14.580998891587171,71.2594784230683,64.46951100557665,49.84847325481098
2,off-peak,17.87357887077026,70.57270849105068,65.1898285600755,52.644471678809644
3,Sat. mid-p,23.559135746197732,50.73652466773605,64.84623042090011,54.81656506125394
3,mid-peak,22.0827573152881,47.164955400024695,63.508797490974516,44.94386385751807
3,off-peak,21.135732854047323,48.98613579755932,63.719376148535765,46.148812320085554
4,Sat. mid-p,19.662341166172283,54.958706494168666,64.28929914055189,54.485977139441914
4,mid-peak,19.907017529406787,50.64105311162149,61.57016050636852,48.58863509194493
4,off-peak,21.509038574558502,41.52671092371771,62.446607132573064,40.438375075159435
5,Sat. mid-p,25.5677101073802,31.017019779248965,61.65969122618316,33.16672103212567
5,mid-peak,26.79219159287394,45.12411803340276,61.54217842852162,37.493027748119715
5,off-peak,15.550604981414173,34.37568786782237,63.19177594478229,30.38330133199003
5,peak,8.92490362558227,37.765223822322184,73.33599370024277,33.9919674325769
6,Sat. mid-p,32.489050929692866,20.698933112771332,72.21694012833868,15.409691552778206
6,mid-peak,44.912441925857536,26.661859505078866,74.21517719013679,17.867830109353864
6,off-peak,17.386567880308142,17.013480780923103,73.5132440349637,15.078506931442433
6,peak,13.664597790525342,20.946627851859052,74.71331649629178,18.838958583117236
7,Sat. mid-p,34.97511132259945,38.99648486583635,54.521387622195114,8.695084748528862
7,mid-peak,47.35901819758705,26.52852239432277,52.957759012465864,17.28803849478293
7,off-peak,17.4629382623119,24.548490311126358,53.044467060988076,11.916442260794092
7,peak,14.548062797056781,23.569155955143287,55.15163995621707,19.337664428992024
8,Sat. mid-p,27.969582927602776,29.23411674063144,52.80393750470955,14.750394422111492
8,mid-peak,45.50565059022682,29.657342994845507,56.190412073805355,17.663539204895525
8,off-peak,12.3271085417707,26.83996940555925,56.5658638507543,15.458270210564507
8,peak,8.270715028153303,29.035019106273136,55.522118915451586,21.93066284855345
9,Sat. mid-p,28.852334576207642,39.81664307456334,68.85256211690415,26.040846158495324
9,mid-peak,43.22099790019498,47.765054380952414,63.113235488218685,37.26773923464327
9,off-peak,10.506410314859624,34.34285577790442,64.63292774524373,26.258141763438434
9,peak,4.919559890061015,47.38675152514319,66.39691476469591,42.88917080624202
10,Sat. mid-p,19.670470305388363,61.2048678115713,71.90976592507889,33.99620608867096
10,mid-peak,24.14347960324522,62.15150994830093,74.36836064480212,55.65576992997523
10,off-peak,14.193394522331062,59.201227816142776,74.45927117493224,45.916393433083904
10,peak,3.694637730982059,66.1761759040908,75.48199809195803,67.94263880032487
11,Sat. mid-p,14.313089250095887,40.15242453826711,70.34336357284292,31.512995083652307
11,mid-peak,14.489926445530402,62.11387387858333,71.27726926408594,56.554287423222036
11,off-peak,17.870815357186242,57.085075876151464,69.84384873389087,46.97130674411361
12,Sat. mid-p,12.313194006593454,69.5682197381242,59.89385177768354,59.970386356782214
12,mid-peak,12.863328170164161,74.93142703319003,56.70590272110237,62.83589359383636
12,off-peak,17.077722081040196,72.86293441676547,57.284002157582066,59.776964503458174
